,职位,薪资,公司名称,公司地址,工作年限,学历
224,Python技术经理,8k-16k,沪移促中心,上海 ,3-5年,本科
225,python开发工程师,15k-20k,远光软件,珠海  ,经验不限,大专
226,python开发工程师,6k-11k,武汉佰钧成,武汉 ,1-3年,本科
227,python工程师,6k-10k,宏泰环保,广州  ,1-3年,本科
228,Python,20k-40k,北京字节跳动,北京 ,3-5年,本科
229,python高级工程师,15k-30k,苏宁,南京  ,3-5年,本科
230,python工程师,15k-25k,杭州明霖,杭州  ,3-5年,本科
231,Django/Python开发,8k-15k,海康威视,杭州 ,1-3年,本科
232,Python,20k-30k,站擎,深圳 ,5-10年,本科
233,Python开发工程师,10k-15k,联想利泰,北京 ,3-5年,本科
234,python开发工程师,20k-40k,今日头条,北京 ,1-3年,本科
235,Python研发工程师,20k-35k,凤凰学易,北京 ,3-5年,本科
236,Python,15k-25k,安知信息,北京 ,3-5年,本科
237,python讲师,4k-8k,程果教育,安庆  ,经验不限,学历不限
238,python,9k-15k,软通动力,东莞  ,1-3年,本科
239,Python引擎开发,15k-25k,微宽信息,广州 ,3-5年,本科
240,高级python工程师,40k-60k,今日头条,北京 ,3-5年,本科
241,Python开发（南京）,8k-13k,软通动力,南京 ,1-3年,本科
242,Python开发/架构,25k-50k,京东集团,北京  ,3-5年,本科
243,Python,8k-16k,途灵旅行,深圳 ,1-3年,大专
244,Python开发工程师,8k-10k,文思海辉,无锡  ,1-3年,本科
245,Python开发（AI）,15k-30k,绿米,深圳 ,1-3年,硕士
246,python开发工程师,11k-22k,深圳浪潮早上班,深圳 ,3-5年,本科
247,Python,4k-8k,江西天盛,南昌  ,经验不限,学历不限
248,Python工程师,8k-12k,雅集科技,中山  ,1年以内,本科
249,Python,6k-12k,西安创成软件信息技术,西安 ,3-5年,本科
250,Python高级开发工程师,16k-30k,明源云,深圳 ,3-5年,本科
251,Python,3k-4k,万商堂,厦门 ,应届生,本科
252,Python工程师,15k-25k,国民健康科技,上海 ,3-5年,本科
253,Python,6k-10k,非物环保,无锡  ,1年以内,本科
254,高级Python开发工程师,25k-50k,北京字节跳动,上海 ,3-5年,本科
255,Python,5k-8k,环宇通,泉州  ,1-3年,本科
256,python,12k-18k,兴融联科技,深圳 ,3-5年,大专
257,python 实习生,3k-5k,阿姨多多,北京 ,应届生,本科
258,Python,5k-10k,老刀网络,潍坊  ,3-5年,大专
259,python开发工程师,6k-7k,EPC,上海 ,3-5年,本科
260,Python讲师,6k-8k,中科类脑,合肥  ,3-5年,本科
